---,X,Y,Z,T
0,0.000,0.000,0.000,0.1
1,0.000,0.000,346.731,0.1
2,0.000,0.000,347.148,0.1
3,0.000,0.000,347.516,0.1
4,0.000,0.000,347.909,0.1
5,0.000,0.000,348.256,0.1
6,0.000,0.000,348.399,0.1
7,0.000,0.000,348.201,0.1
8,0.000,0.000,348.109,0.1
9,0.000,0.000,347.665,0.1
10,-0.002,-0.001,342.086,0.1
11,-0.015,-0.008,335.448,0.1
12,-0.061,-0.034,327.743,0.1
13,-0.110,-0.070,320.897,0.1
14,-0.193,-0.133,314.227,0.1
15,-0.369,-0.229,312.020,0.1
16,-0.550,-0.320,311.936,0.1
17,-0.696,-0.379,310.867,0.1
18,-0.698,-0.381,304.273,0.1
19,-0.699,-0.384,297.882,0.1
20,-0.700,-0.386,291.987,0.1
21,-0.608,-0.418,285.870,0.1
22,-0.408,-0.509,279.309,0.1
23,-0.235,-0.612,273.443,0.1
24,-0.060,-0.715,267.349,0.1
25,0.131,-0.828,260.664,0.1
26,0.307,-0.928,254.570,0.1
27,0.478,-1.069,247.840,0.1
28,0.550,-1.280,241.101,0.1
29,0.543,-1.483,235.065,0.1
30,0.498,-1.701,229.713,0.1
31,0.447,-1.895,229.712,0.1
32,0.396,-2.090,229.756,0.1
33,0.341,-2.303,229.867,0.1
34,0.289,-2.519,226.828,0.1
35,0.262,-2.721,220.746,0.1
36,0.257,-2.943,214.044,0.1
37,0.275,-3.166,209.681,0.1
38,0.294,-3.365,209.731,0.1
39,0.315,-3.586,209.657,0.1
40,0.334,-3.786,209.878,0.1
41,0.354,-4.007,209.825,0.1
42,0.366,-4.229,209.802,0.1
43,0.365,-4.433,204.557,0.1
44,0.365,-4.654,199.720,0.1
45,0.363,-4.876,199.886,0.1
46,0.356,-5.097,199.882,0.1
47,0.331,-5.295,199.975,0.1
48,0.304,-5.496,200.113,0.1
49,0.277,-5.695,200.143,0.1
50,0.247,-5.914,200.137,0.1
51,0.217,-6.133,200.148,0.1
52,0.189,-6.333,200.244,0.1
53,0.158,-6.551,200.176,0.1
54,0.131,-6.752,200.178,0.1
55,0.100,-6.970,200.199,0.1
56,0.070,-7.190,200.162,0.1
57,0.039,-7.411,200.159,0.1
58,0.009,-7.630,200.185,0.1
59,-0.018,-7.829,200.178,0.1
60,-0.046,-8.028,200.092,0.1
61,-0.076,-8.247,200.177,0.1
62,-0.103,-8.445,200.186,0.1
63,-0.134,-8.667,200.287,0.1
64,-0.152,-8.887,194.888,0.1
65,-0.152,-9.088,191.977,0.1
66,-0.150,-9.309,191.991,0.1
67,-0.148,-9.533,192.044,0.1
68,-0.147,-9.754,192.085,0.1
69,-0.164,-9.954,192.070,0.1
70,-0.205,-10.151,192.014,0.1
71,-0.251,-10.366,191.960,0.1
72,-0.293,-10.564,191.970,0.1
73,-0.339,-10.780,191.941,0.1
74,-0.380,-10.976,192.005,0.1
75,-0.400,-11.198,192.016,0.1
76,-0.414,-11.420,191.951,0.1
77,-0.429,-11.641,191.997,0.1
78,-0.443,-11.861,191.991,0.1
79,-0.458,-12.084,191.987,0.1
80,-0.472,-12.308,191.926,0.1
81,-0.487,-12.482,191.965,0.1
82,-0.496,-12.527,191.952,0.1
83,-0.518,-12.632,191.919,0.1
84,-0.560,-12.829,191.924,0.1
85,-0.605,-13.044,191.931,0.1
86,-0.644,-13.240,191.934,0.1
87,-0.659,-13.422,191.877,0.1
88,-0.666,-13.568,191.889,0.1
89,-0.670,-13.686,192.021,0.1
90,-0.676,-13.806,192.629,0.1
91,-0.681,-13.923,193.237,0.1
92,-0.685,-13.998,193.656,0.1
93,-0.685,-14.048,194.598,0.1
94,-0.685,-14.073,195.769,0.1
95,-0.685,-14.099,196.420,0.1
96,-0.686,-14.125,196.476,0.1
97,-0.685,-14.170,196.514,0.1
98,-0.683,-14.240,196.928,0.1
99,-0.681,-14.320,197.369,0.1
100,-0.680,-14.393,197.427,0.1
101,-0.688,-14.460,197.497,0.1
102,-0.697,-14.528,197.783,0.1
103,-0.706,-14.598,197.686,0.1
104,-0.722,-14.695,197.506,0.1
105,-0.736,-14.783,197.676,0.1
106,-0.750,-14.872,198.193,0.1
107,-0.765,-14.970,198.981,0.1
108,-0.783,-15.069,200.381,0.1
109,-0.802,-15.166,201.186,0.1
110,-0.820,-15.253,201.957,0.1
111,-0.843,-15.350,202.840,0.1
112,-0.851,-15.383,203.409,0.1
113,-0.851,-15.383,204.173,0.1
114,-0.851,-15.383,204.271,0.1
115,-0.851,-15.383,204.509,0.1
116,-0.851,-15.383,204.620,0.1
117,-0.851,-15.383,204.560,0.1
118,-0.851,-15.383,203.286,0.1
119,-0.851,-15.383,202.709,0.1
120,-0.851,-15.383,203.900,0.1
121,-0.851,-15.383,205.374,0.1
122,-0.851,-15.383,206.669,0.1
123,-0.851,-15.383,206.664,0.1
124,-0.851,-15.383,206.840,0.1
125,-0.851,-15.383,206.766,0.1
126,-0.851,-15.383,206.391,0.1
127,-0.851,-15.383,206.059,0.1
128,-0.851,-15.383,205.821,0.1
129,-0.851,-15.383,205.444,0.1
130,-0.851,-15.383,205.765,0.1
131,-0.851,-15.383,205.744,0.1
132,-0.851,-15.383,205.805,0.1
133,-0.851,-15.383,206.058,0.1
134,-0.851,-15.383,205.880,0.1
135,-0.851,-15.383,205.121,0.1
136,-0.851,-15.383,204.367,0.1
137,-0.851,-15.383,203.086,0.1
138,-0.825,-15.435,202.135,0.1
139,-0.779,-15.574,201.895,0.1
140,-0.730,-15.739,202.015,0.1
141,-0.671,-15.949,203.198,0.1
142,-0.634,-16.132,204.377,0.1
143,-0.625,-16.322,205.461,0.1
144,-0.621,-16.492,206.887,0.1
145,-0.623,-16.679,208.715,0.1
146,-0.630,-16.850,210.262,0.1
147,-0.638,-17.020,211.125,0.1
148,-0.646,-17.200,215.185,0.1
149,-0.646,-17.421,221.798,0.1
150,-0.631,-17.646,225.098,0.1
151,-0.602,-17.863,225.813,0.1
152,-0.580,-18.065,228.742,0.1
153,-0.574,-18.286,235.219,0.1
154,-0.588,-18.487,241.103,0.1
155,-0.623,-18.708,245.072,0.1
156,-0.666,-18.913,245.089,0.1
157,-0.691,-18.962,250.188,0.1
158,-0.697,-18.961,256.044,0.1
159,-0.700,-18.960,259.702,0.1
160,-0.700,-18.960,259.730,0.1
161,-0.700,-18.960,259.848,0.1
162,-0.700,-18.959,259.850,0.1
163,-0.719,-18.858,259.937,0.1
164,-0.753,-18.660,260.054,0.1
165,-0.788,-18.441,260.117,0.1
166,-0.823,-18.222,260.085,0.1
167,-0.853,-18.023,259.888,0.1
168,-0.887,-17.803,259.617,0.1
169,-0.896,-17.583,259.332,0.1
170,-0.886,-17.380,259.101,0.1
171,-0.875,-17.159,258.878,0.1
172,-0.865,-16.937,254.464,0.1
173,-0.879,-16.718,247.523,0.1
174,-0.906,-16.499,240.427,0.1
175,-0.891,-16.302,234.506,0.1
176,-0.800,-16.100,234.166,0.1
177,-0.699,-15.927,233.766,0.1
178,-0.589,-15.760,233.640,0.1
179,-0.454,-15.615,233.431,0.1
180,-0.273,-15.488,233.088,0.1
181,-0.081,-15.423,232.921,0.1
182,0.137,-15.390,232.911,0.1
183,0.356,-15.356,232.825,0.1
184,0.575,-15.321,232.777,0.1
185,0.752,-15.256,232.846,0.1
186,0.831,-15.165,232.859,0.1
187,0.815,-15.000,231.746,0.1
